fuente;profesion;contrato;jornada;descripcion;empresa;salario;Ciudad;Nivel educativo;años de experiencia;Fecha_Publicacion
1;Ingeniero de proyectos / Apoyo proyecto Google Analitycs;Contrato de Obra o labor;Tiempo Completo;Prestigiosa empresa de sector requiere de manera urgente Profesional o Tecnólogo en Ingeniera de sistemas. de telecomunicaciones o afines conocimientos en Google Analytics y Google tag manager deseable que tenga conocimientos en Adobe Analytics. Data Studio y Firebase Con conocimientos generales en los lenguajes de programación más populares como Java. PHP. Net y CMS como Drupal o Wordpress Indispensable tener un excelente dominio en Javascript o en su framework jQuery y HTML Tener un nivel de inglés intermedio Experiencia: Experiencia de 2 años en desarrollos de sitios web demostrables y un año en analítica web Salario 3000000+ prestaciones sociales Horario de oficina lunes a viernes de 8am a 5pm;SUMMAR TEMPORALES SAS;3;Bogotá; Carrera Profesional;2;10/07/2019
1;Ingeniero sistemas Desarrollador Móvil;Contrato de Obra o labor;Tiempo Completo;Se solicita ingeniero de sistemas. telecomunicaciones. electrónica. para desempeñar el cargo de Líder de desarrollo Móvil. con conocimiento en Manejo de android jetpack libraries. Manejo de control de versiones GIT. Experiencia en desarrollos de APIs y Web Services. Amplios conocimientos en lenguajes de programación como Kotlin. Java. Objectic-C o Swift Salario $1600000 + Bono de cumplimiento (entre $100000 y $600000) Horario: Lunes a viernes. Lugar de trabajo: Bogotà Presentarse el día 7 de junio hora 8:00 am en la carrera 72c 23f 06 Modelia con hoja de vida. preguntar por Tatiana Alvira;OCUPAR TEMPORALES SA;1.8;Bogotá; Carrera Profesional;2;11/07/2019
1;Analista DBA;Contrato a término indefinido;Tiempo Completo;Tenemos Una Gran Oferta Para Ti Importante Compañía Esta Requiriendo Personal Con 2 Años De Experiencia Como Analista DBA. Con Estudios como Ingeniero De Sistemas Informático O A Fines. y conocimientos en Avan. gestión de bases de datos. lenguaje SQL 2008. 2012. 2016 Y Gestión De Procesos De Información Horario: Lunes a Viernes De 7:30 Am - 5:30 Pm Salario: 3000000 + Prestaciones Sociales Anímate a Participar Con Nosotros!;JIRO SA;3;Medellín; Carrera Profesional;2;10/07/2019
1;Ingeniero Biomédico;Contrato a término fijo;Tiempo Completo;Importante IPS a nivel nacional requiere para su equipo de trabajo Ingeniero Biomedico con mínimo 1 año de experiencia Debe ser una persona responsable. pro activa y con buenas relaciones interpersonales;MEINTEGRAL SAS;null;Zipaquirá; Carrera Profesional;1;12/07/2019
1;Ingeniero de sistemas;Contrato de Obra o labor;Tiempo Completo;Se solicita profesional en ingeniería de sistemas. Experiencia 3 años en este desarrollo de SAP Business One ( específicamente este programa) . debe contribuir al desarrollo a la expansión al mantenimiento y buen manejo de los sistemas de la Compañía. en especial del RP. la red y el programa de nómina y las comunicaciones en General Salario: $3000000+ prestaciones de ley Horario: Lunes a Viernes 7:00 a 5:30 pm;OCUPAR TEMPORALES SA;3;Bogotá; Carrera Profesional;3;11/07/2019
1;Ingeniero de Sistemas;Contrato de Obra o labor;Tiempo Completo;Importante empresa del sector requiere para su equipo de trabajo un Gerente de Cuentas con experiencia y conocimiento en Seguridad Electrónica para participar en el desarrollo de la política comercial de la empresa para aumentar las ventas. los márgenes netos y la cuota de mercado. y optimizar los resultados de las diferentes redes de distribución. al tiempo que cumplen con la imagen y la marca;LOGISTICA LABORAL SAS;2;Medellín; Carrera tecnológica;2;19/06/2019
1;Ingeniero SharePoint;Contrato de Obra o labor;Tiempo Completo;Profesionales en Ingeniería de sistemas. electrónica o informática que cuenten con tarjeta profesional y mínimo 1 año de experiencia con la tarjeta en uso en áreas de soporte. help desk o SharePoint para laborar con reconocida entidad Salario: $4´180000 + Todas las prestaciones;VENTAS Y SERVICIOS SA;4.18;Bogotá; Carrera Profesional;0;9/07/2019
1;Ingeniero Electronico y/o Mecatronico;Contrato a término indefinido;Tiempo Completo;Actualizacion de catalogo y pagina Web (Revision Clasificacion. y generacion de informacion tecnica). Buen manejo de Excel avanzado e Ingles Escrito y hablado. habilidad para digitar y excelente ortografia;ELECTRICAS BOGOTA LTDA;null;Bogotá; Carrera tecnológica;1;null
1;Ingeniero de Sistemas;Contrato de Obra o labor;Tiempo Completo;Reconocida empresa requiere para su equipo de trabajo ingenieros de sistemas o afines con experiencia mínima de 2 años liderando mesas de ayuda Horarios: Lunes a viernes de 7:30 am a 5:30 pm  Salario: 1650000 + bono mensual de 242000 + prestaciones de ley;SERVIMOS LTDA;1.65;Bogotá; Carrera Profesional;2;12/07/2019
1;Ingeniero de Desarrollo. Programador Senior;Contrato a término indefinido;Tiempo Completo;Requerimos Ingeniero de desarrollo ó Programador de software. técnico. tecnólogo o profesional en ingeniería de sistemas o carreras afines. con mínimo 2 años de experiencia en desarrollo de software. que aporte su conocimiento y experiencia en la optimización de los tiempos de respuesta y recursos empleados Que sienta pasión por el desarrollo de software y que busque siempre el mejoramiento constante y la excelencia;RENTEC SAS;3;Medellín; Carrera tecnológica;2;11/07/2019
1;Ingeniero de Investigación y Desarrollo Web o Apps;Contrato a término indefinido;Tiempo Completo;Casas de desarrollo de software. requiere Ingenieros de sistemas con experiencia mínima de 2 años en desarrollo Web Indispensable conocimientos avanzado en PHP. Javascript. AJAX. Json. bases de datos SQL (Mysql. PostgreSQL) con alto nivel de liderazgo y trabajo en equipo Deseables conocimientos en PWA Ionic. o React. Native Anexar aspiración salarial;SMARTINFO SAS;null;Cartagena de Indias; Carrera Profesional;2;31/05/2019
1;Arquitecto / Ingeniero Civil;Contrato a término indefinido;Tiempo Completo;Profesional responsable de liderar y coordinar el trabajo de todas las disciplinas inmersas en el desarrollo de cada proyecto. con el fin de cumplir. tanto los requerimientos necesarios para un buen diseño. ejecución y operación de la edificación. como los procesos metodológicos del departamento BIM;PROCOL PROYECTOS DE COLOMBIA SAS;null;Pereira; Especialización;3;8/07/2019
1;Desarrollo de Aplicaciones;Contrato de Obra o labor;Tiempo Completo;Prestigiosa empresa requiere Ingeniero de sistemas para desarrollo de aplicaciones Móviles con tecnologías Android Studio. en lenguajes con experiencia en Xamarin Forms en Visual Studio 2017 En Lenguaje C# y Xamarin Android en Visual Studio 2017 En Lenguaje C# salario $4000000;CONTACTAMOS OUTSOURCING SAS;4;Bogotá; Carrera Profesional;2;11/07/2019
1;ingeniero de sistemas;Contrato de Obra o labor;Tiempo Completo;Se requiere Profesional Ingeniero de Sistemas Electrónica o afines para el cargo Analista de Aplicaciones con Años 2 a 4 años Experiencia en Desarrollo web con Productos Microsoft: asp mvcnet. visualbasicnet. C#. Visual Studio -Metodologías ágiles de desarrollo (scrum) Si cumples con todo lo requerido aplicar al perfil horario de oficina salario 4000000;MISION TEMPORAL;4;Bogotá; Educación Media;1;9/07/2019
1;Ingeniero Mesa de ayuda;Contrato a término indefinido;Tiempo Completo;Importante empresa del sector solicita Profesional en Ingeniería de sistemas. electrónica o telecomunicaciones Experiencia: Profesional de 2 años mínimos como soporte en proyectos de videoconferencias Debe contar con: Tarjeta Profesional Conocimientos en herramientas de gestión Certificado Itl V3 (Deseable) Conocimientos en SO Windows DEBE CONTAR ESPECÍFICAMENTE CON ESTOS REQUISITOS. DE LO CONTRARIO ABSTENERSE DE APLICAR Tipo de contrato: A término indefinido directo con la Compañía Tipo de puesto: Tiempo completo Salario: $1500000 /mes;ASESORIAS ALFA;1.5;Bogotá; Carrera Profesional;2;4/07/2019
1;Director de ventas y logistica;Contrato de Obra o labor;Tiempo Completo;Importante empresa del sector metalmecanico. solicita para su equipó de trabajo Ingeniero Mecánico y carreras afines con 10 meses afines al cargo solicitado para desempeñar funciones tales como:Realizar visitas tenicas gestión de ventas. atención al cliente. elaboración de cotizaciones.Venta de Productos y Servicios Mecánicos.Calculo de compras de Materias primas de acuerdo a cada proyecto.entres otras funciones asociadas al cargo Horario:lunes a sábado de 7:00am a 5:30pm Salario:de 2000000 a 4000000 según experiencia y conocimientos Interesados aplicar su hoja de vida actualizada;PRODUCTIVIDAD EMPRESARIAL SAS;3;Bogotá; Carrera Profesional;1;8/07/2019
1;ingeniero mecancico;Contrato de Obra o labor;Tiempo Completo;"TYS te esta invitando en la siguiente oportunidad de trabajo especial para ti"" Importante empresa requiere personal INGENIERO MECÁNICO con 1 año de experiencia. Funcionamiento y mantenimiento de motores a gasolina y Diésel. Conocimientos en motores dos tiempos y cuatro tiempos (Deseable conocimiento de funcionamiento maquinaria agrícola). Mantenimiento preventivo y correctivo a maquinaria agrícola MOTORIZADA Viaja a nivel nacional 100% del tiempo realizando capacitaciones. charlas y mantenimientos SALARIO: Salario básico $1800000 + comisiones (devengan comisión por venta de los representantes regionales) Promedio mensual $2500000 *Preferible persona Soltera sin hijos. pues viaja 100% del tiempo a nivel nacional interesados presentarse el día 14 DE JUNIO DE 2019. preguntar por BRAYAN LUGO. traer los siguientes documentos certificados laborales. antecedentes de policía y procuraduria. fotocopia de la cc al 150. fotocopia del acta o diploma de grado GRACIAS POR TU ATENCIÓN ESTAREMOS EN COMUNICACIÓN CONTIGO";T&S TEMSERVICE SAS;2.5;Bogotá; Carrera Profesional;1;12/07/2019
1;Líder aseguramiento de la calida BI;Tiempo Completo;null;Se requiere Tecnólogo o Ingeniero de Sistemas/Informática FUNCIONES: -Crear marcos de trabajo estándares. técnicas y herramientas de optimización para la ejecución de los procesos de QA -Participar activamente en las sesiones de definición y alcance en los proyectos para entender el alcance del QA -Levantar y documentar casos de prueba y consideraciones de calidad aplicables al proyecto -Ejecutar casos de prueba y documentarlos en los diferentes ciclos de pruebas (internos y clientes) -Reportar incidencias y garantizar su adecuada solución -Garantizar que la entrega de la solución al cliente cumpla los criterios de aceptación definidos inicialmente -Documentar y diligenciar las fichas de evaluación y cierre del proyecto -Desarrollar programas o actividades de mejoramiento continuo -Orientar y habilitar al equipo de trabajo para realizar procesos de QA COMPETENCIAS TÉCNICAS: a Saber elaborar casos de prueba. documentación y gestión de incidentes. elaboración de indicadores e informes de gestión de la calidad de un proyecto y ejecución de casos de prueba b Manejar técnicas y herramientas de optimización y reutilización para pruebas c Conocer conceptos de BI d Conocer Transact SQL y procesos de carga ETLs en SSIS e Conocer modelos multidimensionales en Analysis Services f Conocer herramientas de apoyo (Bug Tracker) EXPERIENCIA EN QA: 3 años EXPERIENCIA EN PROYECTOS DE BI: 1 año muy importante que tenga experiencia en BI (Business Intelligence) Salario: A convenir según la experiencia Horario: Lunes a Viernes de 8:00 a 18:00 (posibilidad de tres horarios diferentes) Tipo de contrato: Indefinido Lugar de trabajo: Medellín Experiencia: Detallado en la oferta EXPERIENCIA EN QA: 3 años;null;3.5;Medellín; Carrera tecnológica;3;13/07/2019
1;Ingeniero de Sistemas;Contrato a término fijo;Tiempo Completo;Ingeniero de sistemas o áreas afines con excelente manejo de sql server. conocimiento en desarrollo de sistemas. ideal conocimiento de Net. C# y T-sql buenas relaciones interpersonales Preferiblemente con experiencia 2 años en desarrollos con net con framework 4 o superior. para mantenimiento y mejoras sobre sistemas de información;VISION INGENIERIA SAS;null;Bucaramanga; Carrera Profesional;2;19/06/2019
1;Ingeniero de Sistemas / Tecnico Afines;Contrato a término indefinido;Tiempo Completo;empresa dedicada al servicio y logística busca Ingeniero de Sistemas / Tecnico Afines para el área de sistemas Con ocimientos de software y hardware Instalación de sistemas operativos windows y linux - Administración del firewall. red. cableado estructurado. voz IP(PBX - Asterix) - Administración de activos de hardware y software - Aplicación y control de politicas de la seguridad en la información - Mantenimiento de los equipos de seguridad electrónica. cctv. control de acceso;SATLOCK SAS;1.4;Bogotá; Carrera técnica;1;11/06/2019
1;Ingeniero gestión de información técnica documental;Tiempo Completo;null;Para asegurar el cumplimiento de los lineamientos y procedimientos técnicos establecidos para el manejo de la información técnica. siguiendo los estándares nacionales e internacionales y hacer la divulgación interna de estos. se requiere Ingeniero Civil . Eléctrico o Mecánico con mínimo 6 años de experiencia en proyectos de transporte y logística de hidrocarburos Conocimiento en normas API. ASI y Asme del sector oleoductos y poliductos;null;null;Bogotá; Carrera Profesional;6;11/07/2019
1;Supervisor Tecnologo En Alimentos.Calidad o Producción;Contrato de Obra o labor;Tiempo Completo;Importante empresa de alimentación industrial (Salamanca) se encuentra en la búsqueda de Técnico o Tecnólogo en Procesamiento de Alimentos. Calidad. Producción que cuente con mínimo 1 año de experiencia como Supervisor preferiblemente en servicios de alimentación HORARIO: Domingo a Domingo con un día compensatorio a la semana - 3 turnos (mañana. tarde. noche) SALARIO: 1450000 + prestaciones de ley + subsidio de alimentación + estabilidad labora;JIRO SA;1.45;Medellín; Carrera tecnológica;1;12/07/2019
1;Ejecutivo comercial Ingeniero Agronomo;Contrato de Obra o labor;Tiempo Completo;Reconocida empresa se encuentra en búsqueda de ejecutivo comercial con ingeniería Agronoma. con mínimo 3 años de experiencia reciente y certificable en realizar gestión comercial. seguimiento de estados de cartera. estados de cartera entre otras funciones debe contar con medio de transporte propio. lugar de trabajo Cota Horario de lunes a sábado Salario de 2200000 a 2500000 + aux de rodamiento $1301000;GRUPO SOLUCIONES HORIZONTE;2.2;Pereira; Carrera Profesional;2;12/07/2019
1;Ingeniero de sistemas;Contrato a término indefinido;Tiempo Completo;Empresa de software con presencia en Colombia y América Latina requiere ingenieros de sistemas. ingenieros de software. desarrolladores o tecnólogos programadores de software con experiencia de al menos un año. que desee participar en proyectos de software en etapas de análisis. diseño. construcción y puesta en marcha de soluciones tecnologicas. con conocimientos básicos en: - Angular 2+ (Requerido) - Servicios Web SOAP. REST (deseable) - Microsoft Framework Net (deseable) - Sql Server (deseable) - C# (deseable) Horario: Lunes a Viernes de 7:30 am a 12:00 pm y de 2:00 pm a 6:00 pm (dos horas de almuerzo);IDEAS FRACTAL SAS;null;Pereira; Carrera Profesional;1;30/06/2019
